日付,摘要,出金,入金,残高
2025/04/01,東京電力エナジーパートナー,5200,,280000
2025/04/02,東京ガス,2100,,277900
2025/04/03,西友スーパー,4300,,273600
2025/04/05,セブンイレブン,350,,273250
2025/04/06,ドコモ携帯料金,3278,,269972
2025/04/07,東京メトロ PASMO,2000,,267972
2025/04/09,コープスーパー,5800,,262172
2025/04/11,ウェルシア薬局,1240,,260932
2025/04/13,吉野家,580,,260352
2025/04/14,NTTフレッツ光,5500,,254852
2025/04/15,給与振込,,240000,494852
2025/04/17,水道局 水道料金,2800,,492052
2025/04/19,業務スーパー,3900,,488152
2025/04/21,内科クリニック,1500,,486652
2025/04/23,ローソン,420,,486232
2025/04/25,東急電鉄,1800,,484432
2025/04/27,マルエツスーパー,4200,,480232
2025/04/28,歯科クリニック新宿,3000,,477232
2025/05/01,東京電力エナジーパートナー,5600,,473232
2025/05/02,東京ガス,1800,,471432
2025/05/03,イオンスーパー,6100,,465332
2025/05/05,ファミリーマート,480,,464852
2025/05/06,ドコモ携帯料金,3278,,461574
2025/05/07,JR東日本 SUICA,2500,,459074
2025/05/09,スーパー三和,5200,,453874
2025/05/12,ウェルシア薬局,980,,452894
2025/05/14,NTTフレッツ光,5500,,447394
2025/05/15,給与振込,,240000,687394
2025/05/17,水道局 水道料金,2800,,684594
2025/05/19,業務スーパー,4500,,680094
2025/05/21,松屋 渋谷店,500,,679594
2025/05/23,東京メトロ,2200,,677394
2025/05/25,コープスーパー,5000,,672394
2025/05/27,駐車場コインパーキング,600,,671794
2025/05/29,西友スーパー,3800,,667994
2025/06/01,東京電力エナジーパートナー,6100,,664694
2025/06/02,東京ガス,1600,,663094
2025/06/03,スーパー三和,5500,,657594
2025/06/05,セブンイレブン,390,,657204
2025/06/06,ドコモ携帯料金,3278,,653926
2025/06/07,東京メトロ PASMO,2000,,651926
2025/06/09,マルエツスーパー,6200,,645726
2025/06/11,松本清薬局,1650,,644076
2025/06/13,ガスト渋谷店,1200,,642876
2025/06/14,NTTフレッツ光,5500,,637376
2025/06/15,給与振込,,240000,877376
2025/06/17,水道局 水道料金,2800,,874576
2025/06/19,業務スーパー,4800,,869776
2025/06/21,内科クリニック,1500,,868276
2025/06/23,コンビニ ローソン,440,,867836
2025/06/25,東急電鉄,1800,,866036
2025/06/27,コープスーパー,5300,,860736
2025/07/01,東京電力エナジーパートナー,8200,,856936
2025/07/02,東京ガス,1200,,855736
2025/07/03,イオンスーパー,7100,,848636
2025/07/05,ファミリーマート,520,,848116
2025/07/06,ドコモ携帯料金,3278,,844838
2025/07/07,JR東日本 SUICA,2500,,842338
2025/07/09,ウェルシア薬局,2200,,840138
2025/07/11,吉野家,680,,839458
2025/07/14,NTTフレッツ光,5500,,833958
2025/07/15,給与振込,,240000,1073958
2025/07/17,水道局 水道料金,3000,,1070958
2025/07/19,業務スーパー,5800,,1065158
2025/07/21,スーパー三和,6900,,1058258
2025/07/23,コンビニ セブン,590,,1057668
2025/07/25,東京メトロ,2000,,1055668
2025/07/27,歯科クリニック新宿,3000,,1052668
2025/07/29,西友スーパー,4600,,1048068
2025/08/01,東京電力エナジーパートナー,11200,,1036868
2025/08/02,東京ガス,1100,,1035768
2025/08/03,イオンスーパー,7800,,1027968
2025/08/05,セブンイレブン,610,,1027358
2025/08/06,ドコモ携帯料金,3278,,1024080
2025/08/07,東京メトロ PASMO,2500,,1021580
2025/08/09,コープスーパー,7200,,1014380
2025/08/11,ウェルシア薬局,2600,,1011780
2025/08/13,松屋 渋谷店,620,,1011160
2025/08/14,NTTフレッツ光,5500,,1005660
2025/08/15,給与振込,,240000,1245660
2025/08/17,水道局 水道料金,3100,,1242560
2025/08/19,業務スーパー,8900,,1233660
2025/08/21,内科クリニック,1500,,1232160
2025/08/23,ローソン,480,,1231680
2025/08/25,東急電鉄,1800,,1229880
2025/08/27,マルエツスーパー,6100,,1223780
2025/08/29,駐車場コインパーキング,800,,1222980
2025/09/01,東京電力エナジーパートナー,9800,,1213180
2025/09/02,東京ガス,1400,,1211780
2025/09/03,スーパー三和,6500,,1205280
2025/09/05,ファミリーマート,510,,1204770
2025/09/06,ドコモ携帯料金,3278,,1201492
2025/09/07,JR東日本 SUICA,2500,,1198992
2025/09/09,ウェルシア薬局,1780,,1197212
2025/09/11,吉野家渋谷店,680,,1196532
2025/09/14,NTTフレッツ光,5500,,1191032
2025/09/15,給与振込,,240000,1431032
2025/09/17,水道局 水道料金,2900,,1428132
2025/09/19,業務スーパー,5400,,1422732
2025/09/21,内科クリニック,1500,,1421232
2025/09/23,コンビニ ローソン,430,,1420802
2025/09/25,東京メトロ,2000,,1418802
2025/09/27,コープスーパー,5600,,1413202
2025/09/29,歯科クリニック新宿,3000,,1410202
