日付,摘要,出金,入金,残高
2026/03/01,セブンイレブン渋谷店,450,,280000
2026/03/02,東京メトロ PASMO,3200,,276800
2026/03/03,イオンモール多摩,8450,,268350
2026/03/05,スターバックスコーヒー,680,,267670
2026/03/06,NETFLIX,1980,,265690
2026/03/07,東京電力エナジーパートナー,8200,,257490
2026/03/08,松本清薬局,2340,,255150
2026/03/10,吉野家渋谷店,680,,254470
2026/03/11,東京ガス,4100,,250370
2026/03/12,マクドナルド新宿店,520,,249850
2026/03/13,ドコモ携帯料金,3278,,246572
2026/03/14,セブンイレブン代々木,330,,246242
2026/03/15,給与振込,,250000,496242
2026/03/15,ガスト渋谷店,1200,,495042
2026/03/17,ニトリ新宿,5800,,489242
2026/03/18,スーパー三和,4320,,484922
2026/03/19,JR東日本 SUICA,2000,,482922
2026/03/20,ドラッグストアウェルシア,1870,,481052
2026/03/21,映画 TOHOシネマズ,2200,,478852
2026/03/22,ローソン池袋,410,,478442
2026/03/23,Amazon,3480,,474962
2026/03/24,業務スーパー中野,6750,,468212
2026/03/25,スポーツジム月会費,8000,,460212
2026/03/26,ファミリーマート,580,,459632
2026/03/27,水道局 水道料金,3100,,456532
2026/03/28,歯科クリニック新宿,3000,,453532
2026/03/29,スタバ表参道,890,,452642
2026/03/30,コスモス薬品,1560,,451082
2026/03/31,西友スーパー,5200,,445882
