利用日,利用店名・商品名,利用者,支払方法,利用金額,支払手数料,支払総額
2025/10/01,Amazon.co.jp,本人,1回払い,2980,0,2980
2025/10/02,スターバックスコーヒー,本人,1回払い,680,0,680
2025/10/03,イオンスーパー,本人,1回払い,4800,0,4800
2025/10/04,Netflix,本人,1回払い,1980,0,1980
2025/10/05,東京メトロ,本人,1回払い,1800,0,1800
2025/10/07,マクドナルド,本人,1回払い,750,0,750
2025/10/08,ウェルシア薬局,本人,1回払い,1100,0,1100
2025/10/10,ユニクロ,本人,1回払い,3990,0,3990
2025/10/12,セブンイレブン,本人,1回払い,480,0,480
2025/10/14,ガスト,本人,1回払い,1200,0,1200
2025/10/16,業務スーパー,本人,1回払い,3600,0,3600
2025/10/18,Spotify,本人,1回払い,980,0,980
2025/10/20,スタバ,本人,1回払い,720,0,720
2025/10/22,TOHOシネマズ,本人,1回払い,2200,0,2200
2025/10/24,ローソン,本人,1回払い,390,0,390
2025/10/26,ダイソー,本人,1回払い,550,0,550
2025/10/28,Amazon.co.jp,本人,1回払い,1980,0,1980
2025/10/30,コープスーパー,本人,1回払い,5100,0,5100
2025/11/01,Amazon.co.jp,本人,1回払い,4500,0,4500
2025/11/02,スターバックスコーヒー,本人,1回払い,750,0,750
2025/11/03,西友スーパー,本人,1回払い,5200,0,5200
2025/11/04,Netflix,本人,1回払い,1980,0,1980
2025/11/06,JR東日本,本人,1回払い,2400,0,2400
2025/11/08,ユニクロ,本人,1回払い,6990,0,6990
2025/11/10,マクドナルド,本人,1回払い,890,0,890
2025/11/12,松本清薬局,本人,1回払い,1560,0,1560
2025/11/14,ニトリ,本人,1回払い,9800,0,9800
2025/11/16,セブンイレブン,本人,1回払い,520,0,520
2025/11/18,Spotify,本人,1回払い,980,0,980
2025/11/20,ガスト,本人,1回払い,1450,0,1450
2025/11/22,業務スーパー,本人,1回払い,4200,0,4200
2025/11/24,TOHOシネマズ,本人,1回払い,2200,0,2200
2025/11/26,Amazon.co.jp,本人,1回払い,3280,0,3280
2025/11/28,ローソン,本人,1回払い,430,0,430
2025/12/01,Amazon.co.jp,本人,1回払い,6800,0,6800
2025/12/02,スターバックスコーヒー,本人,1回払い,890,0,890
2025/12/03,イオンスーパー,本人,1回払い,9200,0,9200
2025/12/04,Netflix,本人,1回払い,1980,0,1980
2025/12/05,JR東日本,本人,1回払い,3000,0,3000
2025/12/08,ユニクロ,本人,1回払い,8990,0,8990
2025/12/10,マクドナルド,本人,1回払い,750,0,750
2025/12/12,松本清薬局,本人,1回払い,2100,0,2100
2025/12/14,スポーツジム,本人,1回払い,8000,0,8000
2025/12/16,セブンイレブン,本人,1回払い,580,0,580
2025/12/18,Spotify,本人,1回払い,980,0,980
2025/12/20,居酒屋 忘年会,本人,1回払い,6500,0,6500
2025/12/22,業務スーパー,本人,1回払い,7800,0,7800
2025/12/24,ニトリ,本人,1回払い,12000,0,12000
2025/12/26,Amazon.co.jp,本人,1回払い,4980,0,4980
2025/12/28,ガスト,本人,1回払い,1600,0,1600
2026/01/02,Amazon.co.jp,本人,1回払い,2480,0,2480
2026/01/03,スターバックスコーヒー,本人,1回払い,680,0,680
2026/01/04,西友スーパー,本人,1回払い,4900,0,4900
2026/01/05,Netflix,本人,1回払い,1980,0,1980
2026/01/07,東京メトロ,本人,1回払い,1600,0,1600
2026/01/09,ユニクロ,本人,1回払い,2990,0,2990
2026/01/11,マクドナルド,本人,1回払い,680,0,680
2026/01/13,ウェルシア薬局,本人,1回払い,980,0,980
2026/01/15,Spotify,本人,1回払い,980,0,980
2026/01/17,セブンイレブン,本人,1回払い,450,0,450
2026/01/19,ガスト,本人,1回払い,1200,0,1200
2026/01/21,業務スーパー,本人,1回払い,3800,0,3800
2026/01/23,TOHOシネマズ,本人,1回払い,2200,0,2200
2026/01/25,Amazon.co.jp,本人,1回払い,1980,0,1980
2026/01/27,ローソン,本人,1回払い,410,0,410
2026/01/29,コープスーパー,本人,1回払い,4600,0,4600
2026/02/01,Amazon.co.jp,本人,1回払い,3200,0,3200
2026/02/02,スターバックスコーヒー,本人,1回払い,750,0,750
2026/02/03,イオンスーパー,本人,1回払い,5600,0,5600
2026/02/04,Netflix,本人,1回払い,1980,0,1980
2026/02/06,東京メトロ,本人,1回払い,2000,0,2000
2026/02/08,ユニクロ,本人,1回払い,4990,0,4990
2026/02/10,マクドナルド,本人,1回払い,890,0,890
2026/02/12,松本清薬局,本人,1回払い,1340,0,1340
2026/02/14,Spotify,本人,1回払い,980,0,980
2026/02/16,セブンイレブン,本人,1回払い,490,0,490
2026/02/18,ガスト,本人,1回払い,1450,0,1450
2026/02/20,業務スーパー,本人,1回払い,5100,0,5100
2026/02/22,ニトリ,本人,1回払い,6800,0,6800
2026/02/24,Amazon.co.jp,本人,1回払い,2680,0,2680
2026/02/26,ローソン,本人,1回払い,380,0,380
2026/02/28,コープスーパー,本人,1回払い,4200,0,4200
2026/03/01,Amazon.co.jp,本人,1回払い,3480,0,3480
2026/03/02,スターバックスコーヒー,本人,1回払い,680,0,680
2026/03/03,イオンスーパー,本人,1回払い,5420,0,5420
2026/03/04,Netflix,本人,1回払い,1980,0,1980
2026/03/05,東京メトロ,本人,1回払い,2100,0,2100
2026/03/07,マクドナルド,本人,1回払い,890,0,890
2026/03/08,ウェルシア薬局,本人,1回払い,1240,0,1240
2026/03/10,ユニクロ,本人,1回払い,4990,0,4990
2026/03/12,ガスト,本人,1回払い,1450,0,1450
2026/03/14,ニトリ,本人,1回払い,8800,0,8800
2026/03/15,西友スーパー,本人,1回払い,3870,0,3870
2026/03/17,Spotify,本人,1回払い,980,0,980
2026/03/18,TOHOシネマズ,本人,1回払い,2200,0,2200
2026/03/20,業務スーパー,本人,1回払い,4100,0,4100
2026/03/22,松本清薬局,本人,1回払い,1680,0,1680
